book_id,title,language,place_of_publication,published_year,edition,price,class_number,source,notes,author_id,publisher_id
B00983,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် နိုင်ငံတော်၏အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည် ၂၀၁၈ခုနှစ်အတွင်းပြောကြားခဲ့သည့် မိန့်ခွန်း၊ လမ်းညွှန်စကားနှင့် သဝဏ်လွှာများ,Burmese,‌နေပြည်တော်,၂၀၁၉,၁ ကြိမ်,,၈၉၅.၈၅,ဝယ်ယူ,ရည်ညွှန်း,A0335,P0059
B00984,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် နိုင်ငံတော်၏အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည် ၂၀၁၉ခုနှစ်အတွင်းပြောကြားခဲ့သည့် မိန့်ခွန်း၊ လမ်းညွှန်စကားနှင့် သဝဏ်လွှာများ,Burmese,‌နေပြည်တော်,၂၀၂၀,၁ ကြိမ်,,၈၉၅.၈၅,ဝယ်ယူ,ရည်ညွှန်း,A0335,P0059
B00985,ပြည်ထောင်စုငြိမ်းချမ်းရေးညီလာခံ- (၂၁) ရာစုပင်လုံ (ပထမအစည်းအဝေး) မှတ်တမ်း,Burmese,‌နေပြည်တော်,၂၀၁၇,၁ ကြိမ်,,၃၂၄.၅၆,ဝယ်ယူ,ရည်ညွှန်း,A0403,P0059
B00986,ပြည်ထောင်စုငြိမ်းချမ်းရေးညီလာခံ- (၂၁) ရာစုပင်လုံ (ဒုတိယအစည်းအဝေး) မှတ်တမ်း,Burmese,‌နေပြည်တော်,၂၀၁၇,၁ ကြိမ်,,၃၂၄.၅၆,ဝယ်ယူ,ရည်ညွှန်း,A0403,P0059
B00987,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ပြည်ထောင်စုဝန်ကြီးဌာနများက ပြဌာန်းထုတ်ပြန်ခဲ့သော နည်းဥပဒေ၊ အမိန့်နှင့် ကြေညာချက်များ (၂၀၁၅ ခုနှစ် ),Burmese,နေပြည်တော်,၂၀၁၇,၁ ကြိမ်,၁၆၀၀၀,,ဝယ်ယူ,ရည်ညွှန်း,A0404,P0250
B00988,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ပြည်ထောင်စုလွှတ်တော်က ပြဌာန်းထုတ်ပြန်ခဲ့သော ဥပဒေများ (၂၀၁၅ ခုနှစ် ),Burmese,နေပြည်တော်,၂၀၁၆,၁ ကြိမ်,၁၅၀၀၀,,ဝယ်ယူ,ရည်ညွှန်း,A0404,P0250
B00989,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ပြည်ထောင်စုလွှတ်တော်က ပြဌာန်းထုတ်ပြန်ခဲ့သော ဥပဒေများ (၂၀၁၆ ခုနှစ် ),Burmese,နေပြည်တော်,၂၀၁၇,၁ ကြိမ်,၁၆၀၀၀,,ဝယ်ယူ,ရည်ညွှန်း,A0404,P0250
B00990,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ပြည်ထောင်စုလွှတ်တော်က ပြဌာန်းထုတ်ပြန်ခဲ့သော ဥပဒေများ (၂၀၁၉ ခုနှစ် ),Burmese,နေပြည်တော်,၂၀၂၀,၁ ကြိမ်,၂၀၀၀၀,,ဝယ်ယူ,ရည်ညွှန်း,A0404,P0250
B00991,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ပြည်ထောင်စုလွှတ်တော်က ပြဌာန်းထုတ်ပြန်ခဲ့သော ဥပဒေများ (၂၀၂၁ ခုနှစ် ),Burmese,နေပြည်တော်,၂၀၂၂,၁ ကြိမ်,၂၀၀၀၀,,ဝယ်ယူ,ရည်ညွှန်း,A0404,P0250
B00992,သိမှတ်ဖွယ်ရာဗဟုသုတအဖြာဖြာ (၂၀၁၇ ),Burmese,ရန်ကုန်,၂၀၁၇,၁ ကြိမ်,၂၅၀၀,၀၀၁,ဝယ်ယူ,ရည်ညွှန်း,A0405,P0251
B00993,ရည်ညွှန်း+C996:F996+D998,Burmese,ရန်ကုန်,၂၀၁၅,၃ ကြိမ်,၃၀၀၀,,ဝယ်ယူ,,A0406,P0252
B00994,မြန်မာစာညွှန့်ပေါင်းကျမ်း (ပထမတွဲ),Burmese,ရန်ကုန်,၁၉၆၃,,,၄၉၅.၈,ဝယ်ယူ,ရည်ညွှန်း,A0407,P0253
B00995,မြန်မာနိုင်ငံ၏ ၁၉၈၈ခုနှစ် အရေးအခင်း (ပထမတွဲ + ဒုတိယတွဲ),Burmese,ရန်ကုန်,၂၀၁၉,၁ ကြိမ်,၁၀၀၀၀,,ဝယ်ယူ,,A0199,P0082
B00996,မြန်မာစာပေ၊ သမိုင်း၊ စာကြည့်တိုက်နှင့် သုတပညာအကျိုးပြုစာစုများ,Burmese,ရန်ကုန်,၂၀၂၂,၁ ကြိမ်,,,ဝယ်ယူ,ရည်ညွှန်း,A0121,P0254
B00997,မြန်မာစာပေ၊ သမိုင်း၊ စာကြည့်တိုက်နှင့် သုတပညာအကျိုးပြုစာစုများ,Burmese,ရန်ကုန်,၂၀၂၂,၁ ကြိမ်,,,ဝယ်ယူ,ရည်ညွှန်း,A0121,P0254
B00998,ခေတ်ပြိုင်သမိုင်းဆိုင်ရာစာပေစာတမ်းများ (ပထမတွဲ),Burmese,ရန်ကုန်,၂၀၁၇,၁ ကြိမ်,၂၂၀၀,၈၉၅.၈,ဝယ်ယူ,,A0292,P0059
B00999,ခေတ်ပြိုင်သမိုင်းဆိုင်ရာစာပေစာတမ်းများ (ဒုတိယတွဲ),Burmese,ရန်ကုန်,၂၀၁၇,၁ ကြိမ်,၂၁၀၀,,ဝယ်ယူ,,A0292,P0059
